cohort_month,order_month,retained_customers
2016-09,2016-09,1
2016-10,2016-10,262
2016-10,2017-04,1
2016-10,2017-07,1
2016-10,2017-09,1
2016-10,2017-11,1
2016-10,2018-01,1
2016-10,2018-03,1
2016-10,2018-05,2
2016-10,2018-06,2
2016-12,2016-12,1
2016-12,2017-01,1
2017-01,2017-01,717
2017-01,2017-02,2
2017-01,2017-03,2
2017-01,2017-04,1
2017-01,2017-05,3
2017-01,2017-06,1
2017-01,2017-07,3
2017-01,2017-08,1
2017-01,2017-09,1
2017-01,2017-11,3
2017-01,2017-12,1
2017-01,2018-01,5
2017-01,2018-02,3
2017-01,2018-03,1
2017-01,2018-04,1
2017-01,2018-05,2
2017-01,2018-06,3
2017-01,2018-08,1
2017-02,2017-02,1628
2017-02,2017-03,3
2017-02,2017-04,5
2017-02,2017-05,2
2017-02,2017-06,7
2017-02,2017-07,2
2017-02,2017-08,4
2017-02,2017-09,3
2017-02,2017-10,2
2017-02,2017-11,3
2017-02,2017-12,2
2017-02,2018-01,5
2017-02,2018-02,2
2017-02,2018-03,3
2017-02,2018-04,2
2017-02,2018-05,1
2017-02,2018-06,1
2017-02,2018-07,3
2017-03,2017-03,2503
2017-03,2017-04,11
2017-03,2017-05,9
2017-03,2017-06,10
2017-03,2017-07,9
2017-03,2017-08,4
2017-03,2017-09,4
2017-03,2017-10,8
2017-03,2017-11,8
2017-03,2017-12,2
2017-03,2018-01,9
2017-03,2018-02,3
2017-03,2018-03,5
2017-03,2018-04,3
2017-03,2018-05,4
2017-03,2018-06,6
2017-03,2018-07,2
2017-03,2018-08,3
2017-04,2017-04,2256
2017-04,2017-05,14
2017-04,2017-06,5
2017-04,2017-07,4
2017-04,2017-08,6
2017-04,2017-09,6
2017-04,2017-10,8
2017-04,2017-11,7
2017-04,2017-12,7
2017-04,2018-01,4
2017-04,2018-02,6
2017-04,2018-03,2
2017-04,2018-04,1
2017-04,2018-05,1
2017-04,2018-06,2
2017-04,2018-07,2
2017-04,2018-08,3
2017-05,2017-05,3451
2017-05,2017-06,16
2017-05,2017-07,16
2017-05,2017-08,10
2017-05,2017-09,10
2017-05,2017-10,11
2017-05,2017-11,14
2017-05,2017-12,5
2017-05,2018-01,9
2017-05,2018-02,9
2017-05,2018-03,9
2017-05,2018-04,12
2017-05,2018-05,8
2017-05,2018-06,1
2017-05,2018-07,6
2017-05,2018-08,7
2017-06,2017-06,3037
2017-06,2017-07,15
2017-06,2017-08,12
2017-06,2017-09,13
2017-06,2017-10,9
2017-06,2017-11,12
2017-06,2017-12,11
2017-06,2018-01,7
2017-06,2018-02,4
2017-06,2018-03,6
2017-06,2018-04,9
2017-06,2018-05,11
2017-06,2018-06,5
2017-06,2018-07,5
2017-06,2018-08,7
2017-07,2017-07,3752
2017-07,2017-08,20
2017-07,2017-09,13
2017-07,2017-10,9
2017-07,2017-11,11
2017-07,2017-12,8
2017-07,2018-01,12
2017-07,2018-02,4
2017-07,2018-03,7
2017-07,2018-04,10
2017-07,2018-05,8
2017-07,2018-06,11
2017-07,2018-07,5
2017-07,2018-08,9
2017-08,2017-08,4057
2017-08,2017-09,28
2017-08,2017-10,14
2017-08,2017-11,11
2017-08,2017-12,14
2017-08,2018-01,21
2017-08,2018-02,12
2017-08,2018-03,11
2017-08,2018-04,6
2017-08,2018-05,6
2017-08,2018-06,10
2017-08,2018-07,8
2017-08,2018-08,5
2017-09,2017-09,4004
2017-09,2017-10,28
2017-09,2017-11,22
2017-09,2017-12,11
2017-09,2018-01,18
2017-09,2018-02,9
2017-09,2018-03,9
2017-09,2018-04,10
2017-09,2018-05,11
2017-09,2018-06,7
2017-09,2018-07,10
2017-09,2018-08,3
2017-10,2017-10,4328
2017-10,2017-11,31
2017-10,2017-12,11
2017-10,2018-01,4
2017-10,2018-02,10
2017-10,2018-03,9
2017-10,2018-04,9
2017-10,2018-05,16
2017-10,2018-06,12
2017-10,2018-07,8
2017-10,2018-08,9
2017-11,2017-11,7060
2017-11,2017-12,40
2017-11,2018-01,26
2017-11,2018-02,12
2017-11,2018-03,12
2017-11,2018-04,13
2017-11,2018-05,8
2017-11,2018-06,13
2017-11,2018-07,9
2017-11,2018-08,4
2017-12,2017-12,5338
2017-12,2018-01,11
2017-12,2018-02,15
2017-12,2018-03,18
2017-12,2018-04,14
2017-12,2018-05,11
2017-12,2018-06,9
2017-12,2018-07,1
2017-12,2018-08,10
2018-01,2018-01,6842
2018-01,2018-02,23
2018-01,2018-03,25
2018-01,2018-04,20
2018-01,2018-05,20
2018-01,2018-06,11
2018-01,2018-07,12
2018-01,2018-08,16
2018-02,2018-02,6288
2018-02,2018-03,22
2018-02,2018-04,25
2018-02,2018-05,19
2018-02,2018-06,16
2018-02,2018-07,14
2018-02,2018-08,13
2018-03,2018-03,6774
2018-03,2018-04,27
2018-03,2018-05,20
2018-03,2018-06,20
2018-03,2018-07,8
2018-03,2018-08,8
2018-04,2018-04,6582
2018-04,2018-05,39
2018-04,2018-06,20
2018-04,2018-07,16
2018-04,2018-08,9
2018-05,2018-05,6506
2018-05,2018-06,34
2018-05,2018-07,17
2018-05,2018-08,12
2018-06,2018-06,5878
2018-06,2018-07,25
2018-06,2018-08,16
2018-07,2018-07,5949
2018-07,2018-08,31
2018-08,2018-08,6144
